age,job,marital,education,month,duration
56,housemaid,married,basic.4y,may,261
57,services,married,high.school,may,149
37,services,married,high.school,may,226
40,admin.,married,basic.6y,may,151
56,services,married,high.school,may,307
45,services,married,basic.9y,may,198
59,admin.,married,professional.course,may,139
41,blue-collar,married,unknown,may,217
24,technician,single,professional.course,may,380
25,services,single,high.school,may,50
41,blue-collar,married,unknown,may,55
25,services,single,high.school,may,222
29,blue-collar,single,high.school,may,137
57,housemaid,divorced,basic.4y,may,293
35,blue-collar,married,basic.6y,may,146
54,retired,married,basic.9y,may,174
35,blue-collar,married,basic.6y,may,312
46,blue-collar,married,basic.6y,may,440
50,blue-collar,married,basic.9y,may,353
39,management,single,basic.9y,may,195
30,unemployed,married,high.school,may,38
55,blue-collar,married,basic.4y,may,262
55,retired,single,high.school,may,342
41,technician,single,high.school,may,181
37,admin.,married,high.school,may,172
35,technician,married,university.degree,may,99
59,technician,married,unknown,may,93
39,self-employed,married,basic.9y,may,233
54,technician,single,university.degree,may,255
55,unknown,married,university.degree,may,362
46,admin.,married,unknown,may,348
59,technician,married,unknown,may,386
49,blue-collar,married,unknown,may,73
54,management,married,basic.4y,may,230
54,blue-collar,divorced,basic.4y,may,208
55,unknown,married,basic.4y,may,336
34,services,married,high.school,may,365
52,technician,married,basic.9y,may,1666
41,admin.,married,university.degree,may,577
56,technician,married,basic.4y,may,137
58,management,unknown,university.degree,may,366
32,entrepreneur,married,high.school,may,314
38,admin.,single,professional.course,may,160
57,admin.,married,university.degree,may,212
44,admin.,married,university.degree,may,188
42,technician,single,professional.course,may,22
57,admin.,married,university.degree,may,616
40,blue-collar,married,basic.9y,may,178
35,admin.,married,university.degree,may,355
45,blue-collar,married,basic.9y,may,225
54,admin.,married,high.school,may,160
39,housemaid,married,basic.4y,may,266
60,admin.,married,high.school,may,253
53,admin.,single,professional.course,may,179
55,blue-collar,married,basic.4y,may,269
55,technician,married,professional.course,may,135
50,management,married,university.degree,may,161
45,services,married,high.school,may,787
55,unemployed,married,professional.course,may,145
25,technician,single,university.degree,may,174
47,entrepreneur,married,university.degree,may,449
51,blue-collar,married,basic.9y,may,812
42,blue-collar,married,basic.6y,may,164
42,blue-collar,married,basic.6y,may,366
48,admin.,married,high.school,may,357
37,admin.,married,university.degree,may,232
44,blue-collar,single,basic.9y,may,91
33,admin.,married,unknown,may,273
56,admin.,married,basic.9y,may,158
44,blue-collar,single,basic.4y,may,177
41,management,married,basic.6y,may,200
44,management,divorced,university.degree,may,172
47,admin.,married,university.degree,may,176
57,unknown,married,unknown,may,211
37,admin.,married,university.degree,may,214
41,blue-collar,divorced,basic.4y,may,1575
55,technician,married,university.degree,may,349
33,services,married,high.school,may,337
55,management,married,unknown,may,272
42,blue-collar,married,basic.9y,may,208
50,blue-collar,married,basic.4y,may,193
51,blue-collar,married,basic.4y,may,212
38,admin.,married,high.school,may,165
49,entrepreneur,married,university.degree,may,1042
38,technician,single,university.degree,may,20
31,admin.,divorced,high.school,may,246
41,management,married,basic.6y,may,529
39,admin.,married,university.degree,may,192
49,technician,married,basic.9y,may,1467
34,admin.,married,high.school,may,188
35,admin.,married,university.degree,may,180
57,unknown,married,unknown,may,48
60,admin.,married,unknown,may,213
33,unemployed,married,basic.9y,may,545
42,blue-collar,married,basic.6y,may,583
45,services,married,professional.course,may,221
42,management,married,university.degree,may,426
53,admin.,divorced,university.degree,may,287
37,technician,single,professional.course,may,197
44,blue-collar,married,basic.6y,may,257
54,services,married,unknown,may,229
49,blue-collar,married,basic.4y,may,55
54,services,married,unknown,may,400
52,admin.,divorced,university.degree,may,197
52,admin.,divorced,university.degree,may,190
43,services,single,high.school,may,21
34,housemaid,married,basic.6y,may,300
35,admin.,married,high.school,may,123
42,entrepreneur,married,unknown,may,293
43,technician,married,unknown,may,325
60,retired,divorced,university.degree,may,514
58,unemployed,married,basic.4y,may,849
35,services,divorced,high.school,may,194
55,blue-collar,married,basic.9y,may,212
37,management,married,university.degree,may,337
36,blue-collar,married,high.school,may,286
52,admin.,divorced,university.degree,may,247
57,blue-collar,divorced,unknown,may,518
56,admin.,married,unknown,may,364
48,blue-collar,divorced,basic.4y,may,178
40,blue-collar,married,high.school,may,98
49,blue-collar,divorced,high.school,may,439
41,services,married,high.school,may,139
45,technician,married,high.school,may,79
32,admin.,married,university.degree,may,175
42,admin.,married,university.degree,may,262
50,admin.,married,basic.6y,may,61
31,technician,divorced,professional.course,may,78
56,retired,married,basic.4y,may,102
41,technician,married,professional.course,may,579
37,blue-collar,married,basic.6y,may,143
41,technician,married,professional.course,may,677
35,blue-collar,married,unknown,may,267
37,blue-collar,married,basic.6y,may,345
52,management,married,university.degree,may,185
39,management,divorced,university.degree,may,207
39,housemaid,married,basic.4y,may,69
56,blue-collar,married,basic.4y,may,100
34,services,married,high.school,may,125
45,blue-collar,married,basic.9y,may,461
43,unemployed,single,university.degree,may,240
56,management,married,unknown,may,70
39,management,married,university.degree,may,193
53,blue-collar,married,basic.4y,may,136
38,unknown,divorced,high.school,may,73
42,blue-collar,married,basic.4y,may,528
42,blue-collar,married,basic.4y,may,541
35,admin.,single,high.school,may,338
40,admin.,married,university.degree,may,163
51,blue-collar,married,basic.4y,may,87
60,blue-collar,married,basic.9y,may,301
